,网上发行中签率,网下配售中签率,发行前每股净资产,首日换手率,投资金额总计,总资产,净资产,营业收入,净利润,资本公积,未分配利润,基本每股收益,净资产收益率
http://topic.eastmoney.com/hfgj/,0.1512,0.1815,6.49,0.02,23030,4.1942,3.2465,1.7323,0.68,366.77,2.42,&nbsp;,22.2
http://topic.eastmoney.com/GLKJIPO/,0.1599,0.0511,4.22,0.02,14156.41,3.6344,2.9201,1.2731,0.34,6555.44,1.37,0.49,12.34
http://topic.eastmoney.com/jcx/,?0.7811,error,6.43,-,272964.65,32.7195,18.1724,27.8663,2.83,38328.16,9.94,&nbsp;,17.04
http://topic.eastmoney.com/HDWLIPO/,0.3463,0.0906,3.65,0.06,28849,7.0369,3.5738,12.1468,0.49,9977.9,1.25,0.54,14.78
http://topic.eastmoney.com/tczk/,0.2724,0.0758,2.92,0.09,23396,4.0283,2.1895,3.0994,0.32,1667.95,1.15,0.43,15.9
http://topic.eastmoney.com/zfxjsipo/,&nbsp;0.4137,0.0888,7.06,0.03,41496,4.8148,2.4549,&nbsp;,&nbsp;,6009.54,1.38,&nbsp;,&nbsp;
http://topic.eastmoney.com/XALXKJIPO/,0.4727,0.0887,6.41,0.06,25533,4.7658,3.8448,2.8604,0.6,14755.42,1.57,1,16.57
http://topic.eastmoney.com/DJZNWLZB/,0.3668,0.0758,3.64,0.04,32012,6.4522,3.8103,&nbsp;,&nbsp;,4285.91,2.11,&nbsp;,&nbsp;
http://topic.eastmoney.com/WFSW2014/,0.3894,0.0602,4.75,-,error,4.1936,3.336,0.7955,0.2,8551.07,1.61,&nbsp;,11.4
http://topic.eastmoney.com/hcdzcl/,0.4675,0.0868,3.82,-,14599,3.1194,2.4065,0.9256,0.11,3347.2,1.32,&nbsp;,&nbsp;
http://topic.eastmoney.com/stjt/,0.2713,0.0901,3.61,-,28176.39,error,error,error,error,error,error,error,error
http://topic.eastmoney.com/kzjy/,0.6946,0.1058,&nbsp;,-,97569.49,36.6162,22.7884,22.5855,4.22,14551.1,14.44,0.78,20.07
http://topic.eastmoney.com/wlwl/,0.3062,0.0756,error,-,48999.74,37.4219,9.7584,4.3611,1.11,16230.44,4.55,0.32,12.07
http://topic.eastmoney.com/HQTXYIPO/,0.7693,0.1376,4.78,-,97470.07,27.6435,16.7132,31.2796,3.28,&nbsp;,12.63,&nbsp;,21.1
http://topic.eastmoney.com/gtjazq/,1.5742,0.8929,6.89,0.14,&nbsp;,3193.0245,472.9867,178.816,71.72,121954.43,222.59,&nbsp;,18.04
http://topic.eastmoney.com/wsyy2011/,0.3154,0.0901,5.04,-,21150.26,4.1623,2.3128,3.8788,0.32,5639.54,1.18,&nbsp;,14.49
http://topic.eastmoney.com/gdbbl/,&nbsp;0.6035,0.1208,5.15,-,65377.62,5.3629,3.4219,1.6264,0.32,8219.94,1.42,0.4,7.53
http://topic.eastmoney.com/szwkyl/,174,0.1062,6,-,48939,12.9698,5.4033,9.447,0.9,12704.89,2.9,1,18.12
http://topic.eastmoney.com/BJZSTKJIPO/,2771,0.0521,4.49,-,26260,7.4146,2.6963,5.8178,0.47,4925.75,1.41,0.78,18.59
http://topic.eastmoney.com/plt2010/,0.4091,0.0667,7.24,-,error,223.5784,4.018,31.3258,1.08,6405.57,2.56,&nbsp;,29.1
http://topic.eastmoney.com/gekj/,200,0.1088,5.35,-,38815.98,6.9172,3.2111,6.8279,0.63,8453.33,1.57,1.05,21.68
http://topic.eastmoney.com/ssyy/,&nbsp;0.3663,&nbsp;,&nbsp;,-,108094.47,7.1835,6.4664,5.8985,2.02,9955.06,4.11,2.25,36.15
http://topic.eastmoney.com/khyy2012/,6.21,0.5418,3.98,-,67292.92,19.4088,16.1177,&nbsp;,&nbsp;,14293.11,8.62,&nbsp;,&nbsp;
http://topic.eastmoney.com/zxjy/,0.2191,0.081,4.44,-,42603.81,10.6114,4.9805,3.835,0.91,16251.04,2.08,&nbsp;,20.08
http://topic.eastmoney.com/hjhs/,0.3292,0.2126,4.16,0.04,41629.3,14.175,4.5786,12.4084,0.8,8102.45,2.37,0.73,19.17
http://topic.eastmoney.com/yfccsb/,0.2574,0.1355,5.33,0.02,26814.6,5.5825,3.9948,4.7435,0.61,12655.1,1.65,0.82,16.73
http://topic.eastmoney.com/bgbzgf/,0.453,0.1077,2.19,0.02,84444.67,48.5553,14.9146,&nbsp;,&nbsp;,37199.79,3.21,&nbsp;,&nbsp;
http://topic.eastmoney.com/ssdzjs/,0.276,0.0786,3.22,0.01,17265.46,2.546,1.9667,0.8984,0.13,878.52,1.13,&nbsp;,&nbsp;
http://topic.eastmoney.com/shkj/,&nbsp;0.4610,0.1498,5.33,0.02,75931,12.8519,5.8576,10.8673,1.03,23218.42,2.24,&nbsp;,18.46
http://topic.eastmoney.com/fxdeqcipo/,0.5936,0.1773,9.69,0.01,76482.71,10.8252,7.4115,6.7448,1.33,34448.37,2.66,&nbsp;,19.53
http://topic.eastmoney.com/wxxykj/,0.3514,0.1119,3.74,0.03,26341.89,3.173,1.9318,0.4342,0.06,3828.98,0.95,&nbsp;,3.29
http://topic.eastmoney.com/hqhp/,&nbsp;0.5263,0.9922,10.26,0.04,71728,14.5246,5.7116,1.5795,0.27,7777.37,3.92,&nbsp;,&nbsp;
http://topic.eastmoney.com/zxxxfz/,0.2555,0.0621,3.18,0.02,37037,4.3324,1.4568,0.2411,-0.21,1.03,0.77,&nbsp;,-13.6
http://topic.eastmoney.com/xfdzjs/,0.3477,0.2008,3.9,0.02,31866,3.9039,2.9223,3.0672,0.67,4373.61,1.44,0.89,24.19
http://topic.eastmoney.com/slsy/,119,0.092,4.28,-,39008.44,10.8991,5.8694,7.7078,0.65,15878.47,2.59,&nbsp;,11.65
http://topic.eastmoney.com/fxnm/,0.345,0.165,5.98,0.02,25389.2,9.3069,3.9472,5.222,0.37,11046.82,1.92,0.56,9.88
http://topic.eastmoney.com/ZGHNDLIPO/,21,0.3535,1.92,0.02,15859700,2299.3882,487.6167,&nbsp;,&nbsp;,379422.4,65.81,&nbsp;,&nbsp;
http://topic.eastmoney.com/lcsw/,0.2955,0.1443,2.57,-,93076.98,66.0474,15.6918,2.2821,0.55,17725.22,6.84,&nbsp;,&nbsp;
http://topic.eastmoney.com/gxxjclipo/,0.271,0.1531,4.86,0.01,29385.97,4.2132,2.4298,5.7296,0.46,4377.79,1.25,0.92,20.81
http://topic.eastmoney.com/hzkj2011/,224,0.218,5.08,0.03,24431.39,10.3412,3.9059,&nbsp;,&nbsp;,1952.56,2.58,&nbsp;,&nbsp;
http://topic.eastmoney.com/ahjlkjipo/,0.2734,0.1634,3.9,0.03,40470.3,8.3074,5.8069,1.0175,0.29,7929.59,3.22,&nbsp;,4.92
http://topic.eastmoney.com/SCRLMFJIPO/,0.3336,0.1871,8.48,-,41000,4.8323,3.5572,0.8343,0.16,2663.24,2.56,&nbsp;,4.75
http://topic.eastmoney.com/xhjmzz/,0.2816,0.1531,4.17,0.03,18858.2,5.1586,2.5874,3.9159,0.4,7130.8,1.08,0.65,15.87
http://topic.eastmoney.com/LDDLCD2014/,0.2883,0.2058,3.68,-,78040.51,11.6545,5.9534,7.8069,0.84,25384.6,1.4,0.52,&nbsp;
http://topic.eastmoney.com/SZHJJTIPO/,0.3665,0.1989,4.44,0.04,66224.69,16.2879,7.6162,4.991,0.83,19485.38,3.58,&nbsp;,10.97
http://topic.eastmoney.com/JFLBFYTYP/,0.2948,0.1667,7.55,0.04,39659.6,4.4309,3.8516,4.0692,0.94,5356.86,2.5,&nbsp;,27.37
http://topic.eastmoney.com/dxajf/,0.2278,0.1812,4.55,0.04,28056.4,6.7986,4.0985,6.7211,0.45,8478.33,2.09,0.5,11.67
http://topic.eastmoney.com/sdshhg/,0.2956,0.071,6.51,0.04,70785.96,21.2936,10.6925,6.7312,0.26,17665.62,5.44,0.16,2.35
http://topic.eastmoney.com/SHJQXXIPO/,0.2132,0.077,4.02,0.03,21023.96,5.941,2.6549,5.8794,0.38,6044.51,1.23,0.58,15.31
http://topic.eastmoney.com/YCZNSBIPO/,0.3499,0.1096,5.35,0.06,43200,10.194,4.02,8.8785,0.74,12974.32,1.75,0.99,20.2
http://topic.eastmoney.com/lkyyjt/,0.4139,0.0986,1.92,0.02,70299.04,5.5983,3.7413,5.764,1.5,930.14,1.35,0.77,35.18
http://topic.eastmoney.com/zjwmhbipo/,0.4607,0.0751,2.4,0.04,85320.96,28.1575,10.0754,&nbsp;,&nbsp;,240.52,5.49,&nbsp;,&nbsp;
http://topic.eastmoney.com/htjzaq/,0.3722,0.1043,4.1,0.03,38175.17,11.2864,6.2348,3.3358,0.85,21765.71,2.31,0.56,14.7
http://topic.eastmoney.com/ahyjgjipo/,0.7002,0.105,3.55,0.04,92612.29,38.8526,25.5609,29.5895,4.87,46006.82,12.54,0.68,20.7
http://topic.eastmoney.com/gwdrj/,0.295,0.0623,3.55,0.02,39370.08,6.7919,3.5542,9.9593,0.66,4004.44,1.96,0.66,19.49
http://topic.eastmoney.com/jxhk/,0.3059,0.0752,4.01,0.04,255800,79.3222,21.1916,66.4686,4.15,48898.82,8.76,0.86,23.71
http://topic.eastmoney.com/ylcm2014/,0.1691,0.0608,3.18,0.02,28132.5,5.919,3.228,14.246,0.51,1655.32,1.93,0.5,17.16
http://topic.eastmoney.com/hrylkj/,0.2799,0.0702,6.74,0.04,58192.27,10.8489,4.7563,13.585,0.75,10130.97,2.84,1.07,17.11
http://topic.eastmoney.com/wddz2012/,&nbsp;0.2644,0.1048,2.67,0.05,21667,2.238,1.6039,2.0262,0.85,2995.04,0.4,1.41,41.09
http://topic.eastmoney.com/sfjczx/,0.2716,0.0732,4.39,0.02,43991.86,3.7208,3.2921,3.3799,0.84,6669.74,1.58,1.12,27.85
http://topic.eastmoney.com/xywlkj/,0.1967,&nbsp;,3.57,0.01,31554.55,1.6657,1.1867,0.4273,0.15,3887.5,0.24,0.56,&nbsp;
http://topic.eastmoney.com/SMDQIPO/,0.3097,0.1157,4.39,-,-,4.1118,2.6738,0.4363,0.04,7053.47,1.23,0.07,1.53
http://topic.eastmoney.com/wksw/,0.3221,0.3685,5.33,-,99732,12.362,7.959,2.082,0.49,1060.17,5.96,0.33,6.01
http://topic.eastmoney.com/hmzn2014/,,&nbsp;,4.82,-,22303.64,3.9967,2.4895,1.8154,0.52,6108.41,1.18,1,21.95
http://topic.eastmoney.com/gdtjdqipo/,,&nbsp;,3.78,-,25700,4.401,2.8838,1.0031,0.16,4111.11,1.55,0.22,5.77
http://topic.eastmoney.com/zjhtyy/,,&nbsp;,6.65,-,25659.08,7.5699,2.7917,11.4389,0.46,8613.28,1.37,1.09,17.7
http://topic.eastmoney.com/nxjj/,,&nbsp;,4.23,-,46193.65,6.2773,3.4723,5.4311,0.63,5665.38,1.88,0.77,&nbsp;
http://topic.eastmoney.com/tzjj/,,&nbsp;,3.9,-,18729.91,2.3633,1.9989,0.2397,0.05,7241.78,0.66,&nbsp;,2.5
http://topic.eastmoney.com/ahjt2012/,,&nbsp;,5.43,-,98719,11.6728,8.141,11.7382,1.83,8874.04,4.78,1.2,26
http://topic.eastmoney.com/ntcshg/,0.5811,0.1006,6.81,0.05,53721,13.0415,5.586,3.2732,0.36,6508.56,3.75,&nbsp;,&nbsp;
http://topic.eastmoney.com/plk2012/,0.506,0.0942,5.7,0.1,57117,8.3772,6.8359,4.7569,1.4,5309.44,4.54,1.17,20.83
http://topic.eastmoney.com/jhhj/,0.2996,0.0873,1.83,0.06,32300,5.6957,2.8801,4.12,0.51,&nbsp;,1.29,0.32,18.92
http://topic.eastmoney.com/ydhg/,0.4134,0.0992,6.91,0.06,53938.99,8.1941,5.1104,8.4836,0.6,12340.26,2.8,&nbsp;,12.42
http://topic.eastmoney.com/hlswjs/,0.3078&nbsp;,0.1253,2.61,0.05,41857,6.5448,5.585,2.8527,1,13499.96,1.63,&nbsp;,19.96
http://topic.eastmoney.com/XFKJ/,0.2977,&nbsp;,3.31,-,70104.14,17.2986,10.5248,9.0932,1.3,36901.23,1.53,&nbsp;,10.39
http://topic.eastmoney.com/sxylkj/,0.4127,0.1015,4.21,-,30042.9,3.8137,2.5027,3.222,0.5,3194.01,1.41,&nbsp;,21.37
http://topic.eastmoney.com/WXXDIPO/,0.4745,0.1049,5.63,-,36716.83,8.8004,2.9195,0.8538,0.25,11087.63,1.15,0.48,8.26
http://topic.eastmoney.com/dfxxsh/,0.3160119,0.1134,4.39,-,18277,5.8266,3.3361,4.7087,0.38,214.84,2.27,&nbsp;,11.77
http://topic.eastmoney.com/gxnh/,0.3158,0.1128,9.85,-,70071.47,21.6279,13.9019,12.143,1.53,37998.07,7.66,1.08,12.01
http://topic.eastmoney.com/lkdq/,0.3951,0.0972,4.19,0.06,79050.81,29.9573,15.0938,42.3077,3.44,8497.22,8.68,0.96,25.72
http://topic.eastmoney.com/gdhljtkj/,0.3389,0.0871,2.88,-,29661.26,6.6205,3.7183,0.9579,0.09,5227.81,1.74,&nbsp;,2.44
http://topic.eastmoney.com/jkgyhw/,0.3281,0.1089,5.18,-,26358,6.5754,4.1195,4.769,0.36,17225.45,1.45,&nbsp;,9.19
http://topic.eastmoney.com/yhkj/,,&nbsp;,4.32,-,20425.6,5.3328,2.5273,2.2501,0.51,4253.39,1.36,&nbsp;,22.21
http://topic.eastmoney.com/shyyfl/,,&nbsp;,5.09,-,15795.5,2.6639,1.772,2.3939,0.35,2221.69,1.06,&nbsp;,21.56
http://topic.eastmoney.com/cyrjgf/,,&nbsp;,6.75,-,20611.95,4.71,3.4702,0.6938,0.02,5741.44,2.13,&nbsp;,0.64
http://topic.eastmoney.com/ZGFL2014/,0.2996,0.0917,5.03,0.04,27928.58,4.6769,3.1781,4.5653,0.98,3665.06,1.94,1.54,35.89
http://topic.eastmoney.com/yxbx2012/,&nbsp;0.4784,0.1048,11.36,-,139800,20.1503,17.0351,40.1882,2.64,3820.44,13.18,1.76,16.73
http://topic.eastmoney.com/pls/,&nbsp;0.6197,0.1323,6.24,0.08,42121.84,7.4375,4.6764,4.2249,0.59,12460.07,2.53,0.79,13.57
http://topic.eastmoney.com/phny/,0.4541,0.1016,7.35,0.05,38908,8.0808,4.6461,7.0054,0.6,16497.44,2.2,0.96,13.91
http://topic.eastmoney.com/jsdfxcl/,0.4359,0.1263,4.34,0.08,15954.58,2.8726,2.2159,1.7283,0.32,1096.57,1.43,0.63,15.49
http://topic.eastmoney.com/yszs/,0.3387,0.1428,4.73,0.18,27604.78,6.1609,2.4902,4.3421,0.35,2537.18,1.48,0.67,14.89
http://topic.eastmoney.com/hpbl/,&nbsp;0.4677,0.2062,6.11,0.17,46315.13,15.2013,5.4597,7.0514,0.63,4447.4,3.39,0.73,12.38
http://topic.eastmoney.com/jsgdyxxx/,1.239,0.1341,3.63,0.04,470600,150.3056,93.2332,44.0225,8.49,483191.01,10.08,0.33,9.31
http://topic.eastmoney.com/hyafkj/,0.4626,0.1312,4.05,0.04,28407.5,3.7332,2.4309,3.8627,0.57,2599.35,1.39,0.95,26.22
http://topic.eastmoney.com/bdlkxcl/,0.4573,0.1673,5.29,0.05,11153.01,3.2856,2.4323,2.1054,0.77,55.49,1.74,&nbsp;,36.32
http://topic.eastmoney.com/sjdzipo/,0.7695,0.9123,3.83,0.07,48462.39,7.039,3.9595,5.4492,0.74,4606.13,2.19,0.72,20.21
http://topic.eastmoney.com/bsnyzb/,&nbsp;0.6846,0.2465,4.07,0.05,23496.3,4.8325,2.5818,2.4696,0.4,1168.56,1.64,&nbsp;,17.09
http://topic.eastmoney.com/CDYDKJIPO/,0.6057,0.2006,6.24,0.07,56452,7.831,5.2453,3.631,1.09,12219.16,2.82,&nbsp;,22.47
http://topic.eastmoney.com/qsykj/,&nbsp;0.4973,0.1237,4.13,0.06,17500,3.0665,2.3468,4.2455,0.37,2912.74,1.33,&nbsp;,&nbsp;
http://topic.eastmoney.com/lbxdyf/,0.5435,0.1475,4.84,-,105578.87,25.2968,10.8564,39.4288,2.38,14208.41,5.96,&nbsp;,22.91
http://topic.eastmoney.com/qmjj/,&nbsp;0.5748,0.241,3.48,0.08,50779.96,9.6091,6.3118,10.9376,1,12363.06,2.98,0.55,16.95
http://topic.eastmoney.com/SZGLSFSIPO/,&nbsp;0.8040,0.2449,5.19,0.14,72819.66,8.0024,6.2289,5.375,1.03,21971.65,2.43,0.86,16.17
http://topic.eastmoney.com/xgnj/,&nbsp;0.6635,0.2646,3.55,-,49789,8.3236,5.3236,5.7631,1.26,12712.53,2.02,0.84,23.87
http://topic.eastmoney.com/ZJSYKJIPO/,0.4511,0.2381,3.93,-,30550,5.9401,2.7063,3.9768,0.55,2027.03,1.65,0.8,22.62
http://topic.eastmoney.com/hljzbdyy/,0.8283,0.1897,6.04,-,-,36.0408,21.7261,15.9291,4.64,28692.81,13.89,1.33,24.01
http://topic.eastmoney.com/psrq/,0.3188,0.1697,3.18,-,-,6.5706,2.871,3.6245,0.36,2967.1,1.49,0.4,13.26
http://topic.eastmoney.com/dhkjgf/,0.6184,0.1984,2.29,0.13,51825.9,10.1102,9.2384,6.6352,2.18,181.16,4.18,0.55,26.44
http://topic.eastmoney.com/njqxcskj/,&nbsp;0.4324,0.1419,4.53,0.09,21025.71,3.3423,2.7546,2.0518,0.49,972.92,1.84,0.81,&nbsp;
http://topic.eastmoney.com/KSTYBKJIPO/,0.5179,0.1809,5.72,-,19538.97,2.4587,1.7493,1.4088,0.35,3.41,1.27,1.14,21.77
http://topic.eastmoney.com/lwjlfd/,0.5403,0.4868,9.35,0.09,33399,6.2246,4.2083,4.5483,0.91,10982.97,2.39,2.03,24.39
http://topic.eastmoney.com/NBMKSWIPO/,0.5961,0.1444,4.87,0.06,83600,6.2125,4.1513,5.9785,1.37,2.35,2.95,&nbsp;,38.79
http://topic.eastmoney.com/gstyy/,&nbsp;0.3036,0.296,2.8,0.07,25883.3,2.2411,1.5687,2.5447,0.84,42.8,0.8,1.5,59.07
http://topic.eastmoney.com/hxhkkj/,0.4303,0.1398,3.85,-,33523.1,8.5426,4.5006,5.0911,0.81,37.18,3.19,&nbsp;,19.39
http://topic.eastmoney.com/sxjt2012/,0.5264,0.1808,2.66,0.13,52510.47,23.4133,9.7236,18.7047,1.1,2898.47,5.44,0.31,12.29
http://topic.eastmoney.com/hbgk/,&nbsp;0.1956,0.1064,6.04,0.1,27677.11,6.8715,3.2029,5.6289,0.57,6808.03,1.86,1.07,19.43
http://topic.eastmoney.com/ztsl2014/,415,0.0737,4.48,0.1,26020,6.9633,2.9758,4.3277,0.8,4180.53,1.74,1.34,30.03
http://topic.eastmoney.com/bbwly/,0.5262,0.1935,2.65,0.06,27550,6.6405,4.5681,2.4394,0.43,11345.8,1.62,0.26,9.62
http://topic.eastmoney.com/jhslyfz2014/,0.7221,0.2412,6.27,0.06,30516.6,9.2853,5.2056,3.169,0.53,5607.06,3.4,&nbsp;,10.58
http://topic.eastmoney.com/ltqc/,&nbsp;0.9024,0.3624,4.33,0.12,33746.2,5.8123,3.569,5.5244,0.92,2768.77,2.2,1.12,29.26
http://topic.eastmoney.com/qzjzzs/,0.8299,0.3316,3.52,0.08,53800.04,16.4001,4.2358,18.118,0.77,2756.16,2.52,&nbsp;,19.62
http://topic.eastmoney.com/apxl/,1.1603,0.2646,7.07,0.06,75740,10.7807,8.6099,12.6898,1.28,25364.86,4.45,&nbsp;,15.52
http://topic.eastmoney.com/shcljtipo/,1.2202,0.5182,4.78,0.12,100725,20.3513,11.9887,9.8165,1.34,24981.07,5.99,0.54,11.32
http://topic.eastmoney.com/bjbfkjipo/,&nbsp;0.3432,0.0907,3.19,0.03,60150,4.5333,2.8916,3.8621,0.42,4643.98,1.39,&nbsp;,15.78
http://topic.eastmoney.com/qldzxcl/,0.7446,0.2702,4.1,0.05,27393,3.6937,2.6294,2.7593,0.68,4399.47,1.47,&nbsp;,&nbsp;
http://topic.eastmoney.com/KMLJYYIPO/,0.6441,0.4252,5.31,0.11,34500,4.2025,2.6526,1.2992,0.43,442.03,1.82,0.87,15.5
http://topic.eastmoney.com/SCGGNHIPO/,0.6873,2.1212,6.88,0.15,35535,4.9556,4.1293,5.8351,1.24,71.56,3.26,2.06,34.38
http://topic.eastmoney.com/asdzdh/,0.3913,0.1208,2.99,0.09,18106.18,4.1986,2.7013,3.6668,0.24,2966.46,1.37,0.28,9.65
http://topic.eastmoney.com/LYGG2011/,0.538,0.2348,10.44,0.07,43332.95,7.2398,5.222,8.65,0.55,7256.25,3.72,1.12,11.37
http://topic.eastmoney.com/jslbsy/,239,0.4386,6.16,0.1,22165.01,5.8014,3.6954,5.6262,0.43,5993.38,2.29,&nbsp;,12.35
http://topic.eastmoney.com/gdsftcipo/,0.5891,0.5208,4.39,0.14,23668,3.7767,2.8953,3.0694,0.49,4769.55,1.6,&nbsp;,18.09
http://topic.eastmoney.com/nbtpjt/,1.1352,0.4833,2.84,0.09,139253,25.3698,15.0027,27.3686,4,19201.08,6.48,0.77,26.32
http://topic.eastmoney.com/dfzq/,1.6235,0.5941,4.29,0.02,978747.4,1075.3012,186.255,54.996,23.59,379610.7,43.83,&nbsp;,13.81
http://topic.eastmoney.com/fljx2014/,0.5704,0.2976,4.43,0.07,37698,7.6939,4.0051,6.9957,1.37,1550.84,2.57,&nbsp;,41.08
http://topic.eastmoney.com/bjcytipo/,0.5315,0.273,6.83,0.06,24653.2,7.2889,3.1162,3.1949,0.52,8570.64,1.63,1.14,18.24
http://topic.eastmoney.com/stxxjs/,0.6603,0.3359,4.88,0.1,30691.73,4.9464,2.959,6.9597,0.58,4517.48,1.64,&nbsp;,21.98
http://topic.eastmoney.com/htcxsm/,99,0.5519,5.45,0.12,27387.88,8.0967,4.0804,2.054,0.13,10800.13,2.08,0.18,3.47
http://topic.eastmoney.com/slsy2012/,0.6055,0.5952,5.82,0.18,48827.6,8.7064,5.2338,10.4789,0.82,7836.73,3.1,0.91,15.79
http://topic.eastmoney.com/lskj/,175,0.1949,12.23,0.08,362179.55,182.3843,74.1817,144.9701,11.76,1852.26,62.06,1.94,17.27
http://topic.eastmoney.com/jfqclbj2014/,0.4551,0.0979,2.03,0.07,69655,10.6677,7.826,10.2112,2.02,&nbsp;,&nbsp;,&nbsp;,&nbsp;
http://topic.eastmoney.com/tjyl/,1.1068,0.3178,5.09,0.08,64774.2,14.0254,7.7021,16.2665,1.19,28626.23,3.07,0.8,16.96
http://topic.eastmoney.com/kldzs/,0.9564,0.2676,4.9,0.1,51084.9,18.9693,4.7556,18.443,0.92,7620.56,2.82,&nbsp;,21.44
http://topic.eastmoney.com/hxkj/,0.7136,0.2601,3.5,-,53732.66,7.2023,5.3766,4.5705,0.94,18532.57,1.93,0.63,17.91
http://topic.eastmoney.com/yfdyf/,0.9233,0.2541,4.92,0.11,81588.21,12.5095,5.9576,22.3023,1.42,19773.6,2.56,&nbsp;,26.22
http://topic.eastmoney.com/hlkcyjj/,0.9067,0.2106,4.47,0.08,42970,5.6649,3.8188,9.0108,1.43,2003.67,2.54,&nbsp;,43.25
http://topic.eastmoney.com/hzdl/,1.1181,0.5674,5.45,0.15,57358,26.4553,8.7193,26.6807,1.26,33617.58,3.14,&nbsp;,14.91
http://topic.eastmoney.com/wlyl/,0.6096,0.1858,4.93,-,37884.76,5.258,3.7018,4.9641,0.68,8562.59,1.92,0.9,20.2
http://topic.eastmoney.com/jmzy/,0.5392,0.2849,3.56,0.12,37764,6.3004,4.4161,4.8831,0.58,14800.86,1.56,&nbsp;,12.33
http://topic.eastmoney.com/gjdzipo/,0.9299,0.2793,5.97,0.08,84624.2,35.7174,13.4333,38.7883,1.61,58637.54,4.96,0.72,12.78
http://topic.eastmoney.com/dxzq/,1.4416,0.2196,3.71,0.03,447377,426.0715,74.3531,25.9777,10.41,132475,24.97,0.52,15.43
http://topic.eastmoney.com/XMHXDLSBIPO/,0.9551,0.3206,4.85,0.07,18687.53,4.2405,3.2231,2.676,0.56,3492.51,1.97,0.85,18.82
http://topic.eastmoney.com/ZJTDYSIPO/,0.5147,0.2206,5.77,0.05,80925.81,9.1081,3.4728,4.0779,0.86,3115.46,2.34,&nbsp;,28.27
http://topic.eastmoney.com/lytzndq/,&nbsp;0.9039,0.3523,3.26,0.07,19023,4.7438,2.1484,3.0405,0.43,1049.18,1.25,&nbsp;,22.14
http://topic.eastmoney.com/gxbskhbkj/,86,0.165,4.4,0.06,31799.58,5.9567,2.0447,2.8031,0.31,2984.09,1.15,&nbsp;,16.35
http://topic.eastmoney.com/jslxtygq/,0.889,0.4274,3.67,0.06,30015.35,6.4363,3.2168,4.7099,0.54,12098.81,0.96,&nbsp;,15.54
http://topic.eastmoney.com/wykj/,61&nbsp;,0.3401,4,0.12,28120.22,3.2937,2.506,1.8986,0.31,8683.61,0.92,&nbsp;,13.2
http://topic.eastmoney.com/tfgtx/,0.6138,0.6397,5.51,0.07,28557,3.4511,3.2553,2.0064,0.89,6265.01,1.8,&nbsp;,31.08
http://topic.eastmoney.com/MLSGFIPO/,1.1371,0.2361,3.42,0.15,95239.76,51.9218,14.9777,40.0167,4.39,&nbsp;,&nbsp;,&nbsp;,&nbsp;
http://topic.eastmoney.com/fhgg101031/,0.7721,0.4297,error,error,error,30.4584,5.4581,18.3481,0.41,&nbsp;,&nbsp;,&nbsp;,&nbsp;
http://topic.eastmoney.com/sstzjc/,1.05,0.6824,8.99,0.18,43912.9,14.5234,6.8815,12.7081,1.01,&nbsp;,&nbsp;,&nbsp;,&nbsp;
http://topic.eastmoney.com/hndmkj/,201,0.1556,7.2,0.16,24420.8,6.1246,4.1699,2.3513,0.54,&nbsp;,&nbsp;,&nbsp;,&nbsp;
http://topic.eastmoney.com/xtgf2012/,0.39,0.1701,6.72,0.14,30500,14.9832,8.0274,17.3469,0.44,25085.52,4.02,0.37,5.68
http://topic.eastmoney.com/ghkjgf/,0.4,0.1938,4.08,0.18,32800,6.9972,3.6698,7.7358,0.68,2695.13,2.29,0.75,19.82
http://topic.eastmoney.com/zjhygyipo/,0.53&nbsp;,0.13,4.82,0.07,184085,81.4688,24.1431,32.7219,1.15,&nbsp;,&nbsp;,&nbsp;,&nbsp;
http://topic.eastmoney.com/cgwj/,7.89,0.23,2.93,-,148141.01,16.262,12.1298,23.4493,2.66,5448.78,6.4,0.68,26.43
http://topic.eastmoney.com/lmhw/,603686,0.24,4.14,-,46808.27,10.6739,4.5619,9.1507,1.03,220,3.16,&nbsp;,&nbsp;
http://topic.eastmoney.com/yyjj/,226,0.34,3.31,0.18,22392,4.7108,2.4849,6.7929,0.44,401.85,1.64,0.58,18.14
http://topic.eastmoney.com/jsjtipo/,0.68,0.47,5.44,-,34550,7.6446,3.5068,4.7246,0.64,&nbsp;,&nbsp;,&nbsp;,&nbsp;
http://topic.eastmoney.com/hfcy2012/,300419,0.28,&nbsp;,0.15,26684.77,2.9849,2.2329,1.9892,0.35,777.24,1.76,1.15,16.9
http://topic.eastmoney.com/sssy/,441.51,0.21,4.8,0.08,20956,3.9184,2.5909,1.7144,0.22,7573.43,1.17,0.45,9.02
http://topic.eastmoney.com/hjdz/,603678,0.25,4.49,-,38189,9.5294,5.9284,6.7545,1.04,267.89,4.35,&nbsp;,19.04
http://topic.eastmoney.com/nljx2014/,0.75&nbsp;,0.31,7.34,-,32469,9.4902,4.6394,9.1412,0.62,&nbsp;,&nbsp;,&nbsp;,&nbsp;
http://topic.eastmoney.com/zskj/,0.44&nbsp;,0.22,3.55,0.13,17710.09,2.5069,1.9212,1.6041,0.32,4795.84,0.85,&nbsp;,17.73
http://topic.eastmoney.com/xbhjgf/,0.76,0.23,2.32,0.1,140021.03,23.0067,11.6017,6.2761,0.48,&nbsp;,&nbsp;,&nbsp;,&nbsp;
